7105	TSPAN6
64102	TNMD
8813	DPM1
57147	SCYL3
55732	C1orf112
2268	FGR
3075	CFH
2519	FUCA2
2729	GCLC
4800	NFYA
90529	STPG1
57185	NIPAL3
81887	LAS1L
22875	ENPP4
6405	SEMA3F
1080	CFTR
54467	ANKIB1
1595	CYP51A1
889	KRIT1
5893	RAD52
572	BAD
51056	LAP3
4267	CD99
9957	HS3ST1
26	AOC1
51384	WNT16
23072	HECW1
8379	MAD1L1
3927	LASP1
29916	SNX11
55365	TMEM176A
4074	M6PR
90293	KLHL13
56603	CYP26B1
3382	ICA1
79007	DBNDD1
57679	ALS2
843	CASP10
8837	CFLAR
7035	TFPI
55471	NDUFAF7
10181	RBM5
9108	MTMR7
6542	SLC7A2
381	ARF5
23098	SARM1
26073	POLDIP2
23129	PLXND1
204	AK2
952	CD38
2288	FKBP4
23028	KDM1A
10180	RBM6
84254	CAMKK1
5965	RECQL
55610	VPS50
126393	HSPB6
115703	ARHGAP33
4706	NDUFAB1
5166	PDK4
85413	SLC22A16
51364	ZMYND10
340273	ABCB5
170302	ARX
10165	SLC25A13
7982	ST7
996	CDC27
6521	SLC4A1
799	CALCR
3052	HCCS
1856	DVL2
64063	PRSS22
5976	UPF1
8935	SKAP2
292	SLC25A5
55013	MCUB
3207	HOXA11
5439	POLR2J
56919	DHX33
4222	MEOX1
221981	THSD7A
3980	LIG3
79657	RPAP3
6296	ACSM3
81691	REXO5
57019	CIAPIN1
56928	SPPL2B
80256	FAM214B
51226	COPZ2
5577	PRKAR2B
10943	MSL3
1387	CREBBP
9256	TSPOAP1
4353	MPO
5444	PON1
6936	GCFC2
84058	WDR54
54677	CROT
5244	ABCB4
55904	KMT2E
57414	RHBDD2
30812	SOX8
25998	IBTK
7748	ZNF195
23077	MYCBP2
26224	FBXL3
3683	ITGAL
5164	PDK2
3675	ITGA3
7543	ZFX
3920	LAMP2
3674	ITGA2B
51666	ASB4
51573	GDE1
55049	REX1BD
9244	CRLF1
114881	OSBPL7
26022	TMEM98
51087	YBX2
3883	KRT33A
9020	MAP3K14
6833	ABCC8
10368	CACNG3
54972	TMEM132A
163	AP2B1
6863	TAC1
10127	ZNF263
6376	CX3CL1
64847	SPATA20
8913	CACNA1G
51330	TNFRSF12A
1750	DLX6
4293	MAP3K9
5898	RALA
55971	BAIAP2L1
80853	KDM7A
2115	ETV1
55750	AGK
221	ALDH3B1
55001	TTC22
57157	PHTF2
10344	CCL26
9855	FARP2
10083	USH1C
79017	GGCT
10926	DBF4
6915	TBXA2R
3475	IFRD1
56891	LGALS14
1352	COX10
9569	GTF2IRD1
54623	PAF1
27072	VPS41
9912	ARHGAP44
60528	ELAC2
85477	SCIN
414	ARSD
8228	PNPLA4
8735	MYH13
79602	ADIPOR2
51265	CDKL3
151531	UPP2
10942	PRSS21
57787	MARK4
8842	PROM1
115098	CCDC124
90273	CEACAM21
5048	PAFAH1B1
4843	NOS2
1770	DNAH9
9703	KIAA0100
9058	SLC13A2
8522	GAS7
79090	TRAPPC6A
4145	MATK
1087	CEACAM7
974	CD79B
6329	SCN4A
54879	ST7L
8277	TKTL1
5080	PAX6
113000	RPUSD1
64285	RHBDF1
55692	LUC7L
9254	CACNA2D2
8938	BAIAP3
115939	TSR3
9091	PIGQ
57585	CRAMP1
7005	TEAD3
6401	SELE
55735	DNAJC11
2328	FMO3
29116	MYLIP
27035	NOX1
1870	E2F2
5689	PSMB1
6853	SYN1
3720	JARID2
6792	CDKL5
57172	CAMK1G
728642	CDK11A
65220	NADK
7021	TFAP2B
83741	TFAP2D
9940	DLEC1
9265	CYTH3
53616	ADAM22
6856	SYPL1
1534	CYB561
9043	SPAG9
1951	CELSR3
10157	AASS
55200	PLEKHG6
51188	SS18L2
84954	MPND
4257	MGST1
1407	CRY1
8993	PGLYRP1
4784	NFIX
6482	ST3GAL1
64386	MMP25
9235	IL32
5310	PKD1
23542	MAPK8IP2
9862	MED24
23221	RHOBTB2
54497	HEATR5B
7095	SEC62
6224	RPS20
7812	CSDE1
9690	UBE3C
5980	REV3L
10178	TENM1
5081	PAX7
10747	MASP2
389434	IYD
199870	FAM76A
80342	TRAF3IP3
29954	POMT2
51534	VTA1
51085	MLXIPL
9031	BAZ1B
10048	RANBP9
51513	ETV7
83932	SPRTN
51603	METTL13
8798	DYRK4
7756	ZNF207
7384	UQCRC1
83930	STARD3NL
928	CD9
57467	HHATL
9918	NCAPD2
25900	IFFO1
2696	GIPR
51533	PHF7
56920	SEMA3G
11188	NISCH
